symboling,normalized_losses,make,fuel_type,aspiration,num_of_doors,body_style,drive_wheels,engine_location,wheel_base,length,width,height,curb_weight,engine_type,num-of_cylinders,engine_size,fuel_system,bore,stroke,compression_ratio,horsepower,peak_rpm,city_mpg,highway_mpg,price,price_binned
0,115,mazda,gas,std,four,hatchback,fwd,front,98.8,0.854396925,5.365975104,33.51334356,2425,ohc,four,122,2bbl,3.39,3.39,8.6,84,4800,9.038461538,32,11245,low
0,118,mazda,gas,std,four,sedan,rwd,front,104.9,0.840941855,4.965975104,32.41334356,2670,ohc,four,140,mpfi,3.76,3.16,8,120,5000,12.36842105,27,18280,low
0,41,mazda,diesel,std,four,sedan,rwd,front,104.9,0.840941855,4.965975104,32.41334356,2700,ohc,four,134,idi,3.43,3.64,22,72,4200,7.580645161,39,18344,low
-1,93,mercedes-benz,diesel,turbo,four,sedan,rwd,front,110,0.917347429,9.165975104,34.51334356,3515,ohc,five,183,idi,3.58,3.64,21.5,123,4350,10.68181818,25,25552,mid
-1,93,mercedes-benz,diesel,turbo,four,wagon,rwd,front,110,0.917347429,9.165975104,36.71334356,3750,ohc,five,183,idi,3.58,3.64,21.5,123,4350,10.68181818,25,28248,mid
0,93,mercedes-benz,diesel,turbo,two,hardtop,rwd,front,106.7,0.90100913,9.165975104,32.91334356,3495,ohc,five,183,idi,3.58,3.64,21.5,123,4350,10.68181818,25,28176,mid
-1,93,mercedes-benz,diesel,turbo,four,sedan,rwd,front,115.6,0.973570399,10.5659751,34.31334356,3770,ohc,five,183,idi,3.58,3.64,21.5,123,4350,10.68181818,25,31600,mid
-1,41,mercedes-benz,gas,std,four,sedan,rwd,front,115.6,0.973570399,10.5659751,34.51334356,3740,ohcv,eight,234,mpfi,3.46,3.1,8.3,155,4750,14.6875,18,34184,high
3,142,mercedes-benz,gas,std,two,convertible,rwd,front,96.6,0.86641038,9.365975104,28.81334356,3685,ohcv,eight,234,mpfi,3.46,3.1,8.3,155,4750,14.6875,18,35056,high
0,41,mercedes-benz,gas,std,four,sedan,rwd,front,120.9,1,10.5659751,34.71334356,3900,ohcv,eight,308,mpfi,3.8,3.35,8,184,4500,16.78571429,16,40960,high
1,41,mercedes-benz,gas,std,two,hardtop,rwd,front,112,0.9572321,10.8659751,33.41334356,3715,ohcv,eight,304,mpfi,3.8,3.35,8,184,4500,16.78571429,16,45400,high
1,41,mercury,gas,turbo,two,hatchback,rwd,front,102.7,0.857280154,6.865975104,32.81334356,2910,ohc,four,140,mpfi,3.78,3.12,8,175,5000,12.36842105,24,16503,low
2,161,mitsubishi,gas,std,two,hatchback,fwd,front,93.7,0.755886593,3.265975104,28.81334356,1918,ohc,four,92,2bbl,2.97,3.23,9.4,68,5500,6.351351351,41,5389,low
2,161,mitsubishi,gas,std,two,hatchback,fwd,front,93.7,0.755886593,3.265975104,28.81334356,1944,ohc,four,92,2bbl,2.97,3.23,9.4,68,5500,7.580645161,38,6189,low
2,161,mitsubishi,gas,std,two,hatchback,fwd,front,93.7,0.755886593,3.265975104,28.81334356,2004,ohc,four,92,2bbl,2.97,3.23,9.4,68,5500,7.580645161,38,6669,low
1,161,mitsubishi,gas,turbo,two,hatchback,fwd,front,93,0.755886593,2.665975104,28.81334356,2145,ohc,four,98,spdi,3.03,3.39,7.6,102,5500,9.791666667,30,7689,low
3,153,mitsubishi,gas,turbo,two,hatchback,fwd,front,96.3,0.831331091,4.265975104,27.41334356,2370,ohc,four,110,spdi,3.17,3.46,7.5,116,5500,10.2173913,30,9959,low
3,153,mitsubishi,gas,std,two,hatchback,fwd,front,96.3,0.831331091,4.265975104,27.41334356,2328,ohc,four,122,2bbl,3.35,3.46,8.5,88,5000,9.4,32,8499,low
3,41,mitsubishi,gas,turbo,two,hatchback,fwd,front,95.9,0.832292167,5.165975104,28.21334356,2833,ohc,four,156,spdi,3.58,3.86,7,145,5000,12.36842105,24,12629,low
3,41,mitsubishi,gas,turbo,two,hatchback,fwd,front,95.9,0.832292167,5.165975104,28.21334356,2921,ohc,four,156,spdi,3.59,3.86,7,145,5000,12.36842105,24,14869,low
3,41,mitsubishi,gas,turbo,two,hatchback,fwd,front,95.9,0.832292167,5.165975104,28.21334356,2926,ohc,four,156,spdi,3.59,3.86,7,145,5000,12.36842105,24,14489,low
1,125,mitsubishi,gas,std,four,sedan,fwd,front,96.3,0.828447862,4.265975104,29.61334356,2365,ohc,four,122,2bbl,3.35,3.46,8.5,88,5000,9.4,32,6989,low
1,125,mitsubishi,gas,std,four,sedan,fwd,front,96.3,0.828447862,4.265975104,29.61334356,2405,ohc,four,122,2bbl,3.35,3.46,8.5,88,5000,9.4,32,8189,low
1,125,mitsubishi,gas,turbo,four,sedan,fwd,front,96.3,0.828447862,4.265975104,29.61334356,2403,ohc,four,110,spdi,3.17,3.46,7.5,116,5500,10.2173913,30,9279,low
-1,137,mitsubishi,gas,std,four,sedan,fwd,front,96.3,0.828447862,4.265975104,29.61334356,2403,ohc,four,110,spdi,3.17,3.46,7.5,116,5500,10.2173913,30,9279,low
1,128,nissan,gas,std,two,sedan,fwd,front,94.5,0.794329649,2.665975104,32.51334356,1889,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200,7.580645161,37,5499,low
1,128,nissan,diesel,std,two,sedan,fwd,front,94.5,0.794329649,2.665975104,32.51334356,2017,ohc,four,103,idi,2.99,3.47,21.9,55,4800,5.222222222,50,7099,low
1,128,nissan,gas,std,two,sedan,fwd,front,94.5,0.794329649,2.665975104,32.51334356,1918,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200,7.580645161,37,6649,low
1,122,nissan,gas,std,four,sedan,fwd,front,94.5,0.794329649,2.665975104,32.51334356,1938,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200,7.580645161,37,6849,low
1,103,nissan,gas,std,four,wagon,fwd,front,94.5,0.817876021,2.665975104,31.51334356,2024,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200,7.580645161,37,7349,low
1,128,nissan,gas,std,two,sedan,fwd,front,94.5,0.794329649,2.665975104,32.51334356,1951,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200,7.580645161,37,7299,low
1,128,nissan,gas,std,two,hatchback,fwd,front,94.5,0.795771264,2.665975104,31.31334356,2028,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200,7.580645161,37,7799,low
1,122,nissan,gas,std,four,sedan,fwd,front,94.5,0.794329649,2.665975104,32.51334356,1971,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200,7.580645161,37,7499,low
1,103,nissan,gas,std,four,wagon,fwd,front,94.5,0.817876021,2.665975104,31.51334356,2037,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200,7.580645161,37,7999,low
2,168,nissan,gas,std,two,hardtop,fwd,front,95.1,0.780394041,2.665975104,31.31334356,2008,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200,7.580645161,37,8249,low
0,106,nissan,gas,std,four,hatchback,fwd,front,97.2,0.833253244,4.065975104,32.71334356,2324,ohc,four,120,2bbl,3.33,3.47,8.5,97,5200,8.703703704,34,8949,low
0,106,nissan,gas,std,four,sedan,fwd,front,97.2,0.833253244,4.065975104,32.71334356,2302,ohc,four,120,2bbl,3.33,3.47,8.5,97,5200,8.703703704,34,9549,low
0,128,nissan,gas,std,four,sedan,fwd,front,100.4,0.873137914,5.365975104,33.11334356,3095,ohcv,six,181,mpfi,3.43,3.27,9,152,5200,13.82352941,22,13499,low
0,108,nissan,gas,std,four,wagon,fwd,front,100.4,0.887073522,5.365975104,34.11334356,3296,ohcv,six,181,mpfi,3.43,3.27,9,152,5200,13.82352941,22,14399,low
0,108,nissan,gas,std,four,sedan,fwd,front,100.4,0.887073522,5.365975104,33.11334356,3060,ohcv,six,181,mpfi,3.43,3.27,9,152,5200,12.36842105,25,13499,low
3,194,nissan,gas,std,two,hatchback,rwd,front,91.3,0.820278712,6.765975104,27.71334356,3071,ohcv,six,181,mpfi,3.43,3.27,9,160,5200,12.36842105,25,17199,low
3,194,nissan,gas,turbo,two,hatchback,rwd,front,91.3,0.820278712,6.765975104,27.71334356,3139,ohcv,six,181,mpfi,3.43,3.27,7.8,200,5200,13.82352941,23,19699,mid
1,231,nissan,gas,std,two,hatchback,rwd,front,99.2,0.857760692,6.765975104,27.71334356,3139,ohcv,six,181,mpfi,3.43,3.27,9,160,5200,12.36842105,25,18399,low
0,161,peugot,gas,std,four,sedan,rwd,front,107.9,0.897164825,7.265975104,34.71334356,3020,l,four,120,mpfi,3.46,3.19,8.4,97,5000,12.36842105,24,11900,low
0,161,peugot,diesel,turbo,four,sedan,rwd,front,107.9,0.897164825,7.265975104,34.71334356,3197,l,four,152,idi,3.7,3.52,21,95,4150,8.392857143,33,13200,low
0,41,peugot,gas,std,four,wagon,rwd,front,114.2,0.955790485,7.265975104,36.71334356,3230,l,four,120,mpfi,3.46,3.19,8.4,97,5000,12.36842105,24,12440,low
0,41,peugot,diesel,turbo,four,wagon,rwd,front,114.2,0.955790485,7.265975104,36.71334356,3430,l,four,152,idi,3.7,3.52,21,95,4150,9.4,25,13860,low
0,161,peugot,gas,std,four,sedan,rwd,front,107.9,0.897164825,7.265975104,34.71334356,3075,l,four,120,mpfi,3.46,2.19,8.4,95,5000,12.36842105,24,15580,low
0,161,peugot,diesel,turbo,four,sedan,rwd,front,107.9,0.897164825,7.265975104,34.71334356,3252,l,four,152,idi,3.7,3.52,21,95,4150,8.392857143,33,16900,low
0,41,peugot,gas,std,four,wagon,rwd,front,114.2,0.955790485,7.265975104,34.71334356,3285,l,four,120,mpfi,3.46,2.19,8.4,95,5000,12.36842105,24,16695,low
0,41,peugot,diesel,turbo,four,wagon,rwd,front,114.2,0.955790485,7.265975104,36.71334356,3485,l,four,152,idi,3.7,3.52,21,95,4150,9.4,25,17075,low
0,161,peugot,gas,std,four,sedan,rwd,front,107.9,0.897164825,7.265975104,34.71334356,3075,l,four,120,mpfi,3.46,3.19,8.4,97,5000,12.36842105,24,16630,low
0,161,peugot,diesel,turbo,four,sedan,rwd,front,107.9,0.897164825,7.265975104,34.71334356,3252,l,four,152,idi,3.7,3.52,21,95,4150,8.392857143,33,17950,low
0,161,peugot,gas,turbo,four,sedan,rwd,front,108,0.897164825,7.165975104,34.01334356,3130,l,four,134,mpfi,3.61,3.21,7,142,5600,13.05555556,24,18150,low
1,119,plymouth,gas,std,two,hatchback,fwd,front,93.7,0.755886593,2.665975104,28.81334356,1918,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500,6.351351351,41,5572,low
1,119,plymouth,gas,turbo,two,hatchback,fwd,front,93.7,0.755886593,2.665975104,28.81334356,2128,ohc,four,98,spdi,3.03,3.39,7.6,102,5500,9.791666667,30,7957,low
1,154,plymouth,gas,std,four,hatchback,fwd,front,93.7,0.755886593,2.665975104,28.61334356,1967,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500,7.580645161,38,6229,low
1,154,plymouth,gas,std,four,sedan,fwd,front,93.7,0.803940413,2.665975104,28.81334356,1989,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500,7.580645161,38,6692,low
1,154,plymouth,gas,std,four,sedan,fwd,front,93.7,0.803940413,2.665975104,28.81334356,2191,ohc,four,98,2bbl,2.97,3.23,9.4,68,5500,7.580645161,38,7609,low
-1,74,plymouth,gas,std,four,wagon,fwd,front,103.3,0.839019702,3.465975104,37.81334356,2535,ohc,four,122,2bbl,3.35,3.46,8.5,88,5000,9.791666667,30,8921,low
3,41,plymouth,gas,turbo,two,hatchback,rwd,front,95.9,0.832292167,5.165975104,28.21334356,2818,ohc,four,156,spdi,3.59,3.86,7,145,5000,12.36842105,24,12764,low
3,186,porsche,gas,std,two,hatchback,rwd,front,94.5,0.811629025,7.165975104,28.21334356,2778,ohc,four,151,mpfi,3.94,3.11,9.5,143,5500,12.36842105,27,22018,mid
3,41,porsche,gas,std,two,hardtop,rwd,rear,89.5,0.811629025,3.865975104,29.61334356,2756,ohcf,six,194,mpfi,3.74,2.9,9.5,207,5900,13.82352941,25,32528,high
3,41,porsche,gas,std,two,hardtop,rwd,rear,89.5,0.811629025,3.865975104,29.61334356,2756,ohcf,six,194,mpfi,3.74,2.9,9.5,207,5900,13.82352941,25,34028,high
3,41,porsche,gas,std,two,convertible,rwd,rear,89.5,0.811629025,3.865975104,29.61334356,2800,ohcf,six,194,mpfi,3.74,2.9,9.5,207,5900,13.82352941,25,37028,high
1,41,porsche,gas,std,two,hatchback,rwd,front,98.4,0.844305622,11.1659751,28.51334356,3366,dohcv,eight,203,mpfi,3.94,3.11,10,288,5750,13.82352941,28,9295,low
0,41,renault,gas,std,four,wagon,fwd,front,96.1,0.872176838,5.365975104,33.21334356,2579,ohc,four,132,mpfi,3.46,3.9,8.7,110,5250,10.2173913,31,9295,low
2,41,renault,gas,std,two,hatchback,fwd,front,96.1,0.849591543,5.465975104,28.51334356,2460,ohc,four,132,mpfi,3.46,3.9,8.7,110,5250,10.2173913,31,9895,low
3,150,saab,gas,std,two,hatchback,fwd,front,99.1,0.896684286,5.365975104,34.11334356,2658,ohc,four,121,mpfi,3.54,3.07,9.31,110,5250,11.19047619,28,11850,low
2,104,saab,gas,std,four,sedan,fwd,front,99.1,0.896684286,5.365975104,34.11334356,2695,ohc,four,121,mpfi,3.54,3.07,9.3,110,5250,11.19047619,28,12170,low
3,150,saab,gas,std,two,hatchback,fwd,front,99.1,0.896684286,5.365975104,34.11334356,2707,ohc,four,121,mpfi,2.54,2.07,9.3,110,5250,11.19047619,28,15040,low
2,104,saab,gas,std,four,sedan,fwd,front,99.1,0.896684286,5.365975104,34.11334356,2758,ohc,four,121,mpfi,3.54,3.07,9.3,110,5250,11.19047619,28,15510,low
3,150,saab,gas,turbo,two,hatchback,fwd,front,99.1,0.896684286,5.365975104,34.11334356,2808,dohc,four,121,mpfi,3.54,3.07,9,160,5500,12.36842105,26,18150,low
2,104,saab,gas,turbo,four,sedan,fwd,front,99.1,0.896684286,5.365975104,34.11334356,2847,dohc,four,121,mpfi,3.54,3.07,9,160,5500,12.36842105,26,18620,mid
2,83,subaru,gas,std,two,hatchback,fwd,front,93.7,0.75396444,2.265975104,31.71334356,2050,ohcf,four,97,2bbl,3.62,2.36,9,69,4900,7.580645161,36,5118,low
2,83,subaru,gas,std,two,hatchback,fwd,front,93.7,0.758769822,2.465975104,31.71334356,2120,ohcf,four,108,2bbl,3.62,2.64,8.7,73,4400,9.038461538,31,7053,low
2,83,subaru,gas,std,two,hatchback,4wd,front,93.3,0.755886593,2.665975104,33.71334356,2240,ohcf,four,108,2bbl,3.62,2.64,8.7,73,4400,9.038461538,31,7603,low
0,102,subaru,gas,std,four,sedan,fwd,front,97.2,0.826525709,4.265975104,30.51334356,2145,ohcf,four,108,2bbl,3.62,2.64,9.5,82,4800,7.34375,37,7126,low
0,102,subaru,gas,std,four,sedan,fwd,front,97.2,0.826525709,4.265975104,30.51334356,2190,ohcf,four,108,2bbl,3.62,2.64,9.5,82,4400,8.392857143,33,7775,low
0,102,subaru,gas,std,four,sedan,fwd,front,97.2,0.826525709,4.265975104,30.51334356,2340,ohcf,four,108,mpfi,3.62,2.64,9,94,5200,9.038461538,32,9960,low
0,102,subaru,gas,std,four,sedan,4wd,front,97,0.826525709,4.265975104,32.31334356,2385,ohcf,four,108,2bbl,3.62,2.64,9,82,4800,9.791666667,25,9233,low
0,102,subaru,gas,turbo,four,sedan,4wd,front,97,0.826525709,4.265975104,32.31334356,2510,ohcf,four,108,mpfi,3.62,2.64,7.7,111,4800,9.791666667,29,11259,low
0,89,subaru,gas,std,four,wagon,fwd,front,97,0.833733782,4.265975104,31.01334356,2290,ohcf,four,108,2bbl,3.62,2.64,9,82,4800,8.392857143,32,7463,low
