,symboling,normalized_losses,make,fuel_type,aspiration,num_of_doors,body_style,drive_wheels,engine_location,wheel_base,length,width,height,curb_weight,engine_type,num-of_cylinders,engine_size,fuel_system,bore,stroke,compression_ratio,horsepower,peak_rpm,city_mpg,highway_mpg,price,price_binned
41,0,85,honda,gas,std,four,sedan,fwd,front,96.5,0.842864008,4.065975104,32.11334356,2465,ohc,four,110,mpfi,3.15,3.58,9,101,5800,9.791666667,28,12945,low
42,1,107,honda,gas,std,two,sedan,fwd,front,96.5,0.812590101,4.865975104,29.01334356,2293,ohc,four,110,2bbl,3.15,3.58,9.1,100,5500,9.4,31,10345,low
43,0,41,isuzu,gas,std,four,sedan,rwd,front,94.3,0.820278712,0.665975104,31.51334356,2337,ohc,four,111,2bbl,3.31,3.23,8.5,78,4800,9.791666667,29,6785,low
44,1,41,isuzu,gas,std,two,sedan,fwd,front,94.5,0.749159058,2.465975104,30.01334356,1874,ohc,four,90,2bbl,3.03,3.11,9.6,70,5400,6.184210526,43,11048,low
45,0,41,isuzu,gas,std,four,sedan,fwd,front,94.5,0.749159058,2.465975104,30.01334356,1909,ohc,four,90,2bbl,3.03,3.11,9.6,70,5400,6.184210526,43,11048,low
46,2,41,isuzu,gas,std,two,hatchback,rwd,front,96,0.829408938,4.065975104,29.41334356,2734,ohc,four,119,spfi,3.43,3.23,9.2,90,5000,9.791666667,29,11048,low
47,0,145,jaguar,gas,std,four,sedan,rwd,front,113,0.959154253,8.465975104,30.81334356,4066,dohc,six,258,mpfi,3.63,4.17,8.1,176,4750,15.66666667,19,32250,high
48,0,41,jaguar,gas,std,four,sedan,rwd,front,113,0.959154253,8.465975104,30.81334356,4066,dohc,six,258,mpfi,3.63,4.17,8.1,176,4750,15.66666667,19,35550,high
49,0,41,jaguar,gas,std,two,sedan,rwd,front,102,0.921191735,9.465975104,25.81334356,3950,ohcv,twelve,326,mpfi,3.54,2.76,11.5,262,5000,18.07692308,17,36000,high
50,1,104,mazda,gas,std,two,hatchback,fwd,front,93.1,0.764536281,3.065975104,32.11334356,1890,ohc,four,91,2bbl,3.03,3.15,9,68,5000,7.833333333,31,5195,low
51,1,104,mazda,gas,std,two,hatchback,fwd,front,93.1,0.764536281,3.065975104,32.11334356,1900,ohc,four,91,2bbl,3.03,3.15,9,68,5000,7.580645161,38,6095,low
52,1,104,mazda,gas,std,two,hatchback,fwd,front,93.1,0.764536281,3.065975104,32.11334356,1905,ohc,four,91,2bbl,3.03,3.15,9,68,5000,7.580645161,38,6795,low
53,1,113,mazda,gas,std,four,sedan,fwd,front,93.1,0.801537722,3.065975104,32.11334356,1945,ohc,four,91,2bbl,3.03,3.15,9,68,5000,7.580645161,38,6695,low
54,1,113,mazda,gas,std,four,sedan,fwd,front,93.1,0.801537722,3.065975104,32.11334356,1950,ohc,four,91,2bbl,3.08,3.15,9,68,5000,7.580645161,38,7395,low
55,3,150,mazda,gas,std,two,hatchback,rwd,front,95.3,0.812109563,4.565975104,27.61334356,2380,rotor,two,70,4bbl,3.39,3.39,9.4,101,6000,13.82352941,23,10945,low
56,3,150,mazda,gas,std,two,hatchback,rwd,front,95.3,0.812109563,4.565975104,27.61334356,2380,rotor,two,70,4bbl,3.39,3.39,9.4,101,6000,13.82352941,23,11845,low
57,3,150,mazda,gas,std,two,hatchback,rwd,front,95.3,0.812109563,4.565975104,27.61334356,2385,rotor,two,70,4bbl,3.39,3.39,9.4,101,6000,13.82352941,23,13645,low
58,3,150,mazda,gas,std,two,hatchback,rwd,front,95.3,0.812109563,4.565975104,27.61334356,2500,rotor,two,80,mpfi,3.39,3.39,9.4,135,6000,14.6875,23,15645,low
59,1,129,mazda,gas,std,two,hatchback,fwd,front,98.8,0.854396925,5.365975104,31.71334356,2385,ohc,four,122,2bbl,3.39,3.39,8.6,84,4800,9.038461538,32,8845,low
60,0,115,mazda,gas,std,four,sedan,fwd,front,98.8,0.854396925,5.365975104,33.51334356,2410,ohc,four,122,2bbl,3.39,3.39,8.6,84,4800,9.038461538,32,8495,low
61,1,129,mazda,gas,std,two,hatchback,fwd,front,98.8,0.854396925,5.365975104,31.71334356,2385,ohc,four,122,2bbl,3.39,3.39,8.6,84,4800,9.038461538,32,10595,low
62,0,115,mazda,gas,std,four,sedan,fwd,front,98.8,0.854396925,5.365975104,33.51334356,2410,ohc,four,122,2bbl,3.39,3.39,8.6,84,4800,9.038461538,32,10245,low
63,0,41,mazda,diesel,std,four,sedan,fwd,front,98.8,0.854396925,5.365975104,33.51334356,2443,ohc,four,122,idi,3.39,3.39,22.7,64,4650,6.527777778,42,10795,low
64,0,115,mazda,gas,std,four,hatchback,fwd,front,98.8,0.854396925,5.365975104,33.51334356,2425,ohc,four,122,2bbl,3.39,3.39,8.6,84,4800,9.038461538,32,11245,low
65,0,118,mazda,gas,std,four,sedan,rwd,front,104.9,0.840941855,4.965975104,32.41334356,2670,ohc,four,140,mpfi,3.76,3.16,8,120,5000,12.36842105,27,18280,low
66,0,41,mazda,diesel,std,four,sedan,rwd,front,104.9,0.840941855,4.965975104,32.41334356,2700,ohc,four,134,idi,3.43,3.64,22,72,4200,7.580645161,39,18344,low
67,-1,93,mercedes-benz,diesel,turbo,four,sedan,rwd,front,110,0.917347429,9.165975104,34.51334356,3515,ohc,five,183,idi,3.58,3.64,21.5,123,4350,10.68181818,25,25552,mid
68,-1,93,mercedes-benz,diesel,turbo,four,wagon,rwd,front,110,0.917347429,9.165975104,36.71334356,3750,ohc,five,183,idi,3.58,3.64,21.5,123,4350,10.68181818,25,28248,mid
69,0,93,mercedes-benz,diesel,turbo,two,hardtop,rwd,front,106.7,0.90100913,9.165975104,32.91334356,3495,ohc,five,183,idi,3.58,3.64,21.5,123,4350,10.68181818,25,28176,mid
70,-1,93,mercedes-benz,diesel,turbo,four,sedan,rwd,front,115.6,0.973570399,10.5659751,34.31334356,3770,ohc,five,183,idi,3.58,3.64,21.5,123,4350,10.68181818,25,31600,mid
71,-1,41,mercedes-benz,gas,std,four,sedan,rwd,front,115.6,0.973570399,10.5659751,34.51334356,3740,ohcv,eight,234,mpfi,3.46,3.1,8.3,155,4750,14.6875,18,34184,high
72,3,142,mercedes-benz,gas,std,two,convertible,rwd,front,96.6,0.86641038,9.365975104,28.81334356,3685,ohcv,eight,234,mpfi,3.46,3.1,8.3,155,4750,14.6875,18,35056,high
73,0,41,mercedes-benz,gas,std,four,sedan,rwd,front,120.9,1,10.5659751,34.71334356,3900,ohcv,eight,308,mpfi,3.8,3.35,8,184,4500,16.78571429,16,40960,high
74,1,41,mercedes-benz,gas,std,two,hardtop,rwd,front,112,0.9572321,10.8659751,33.41334356,3715,ohcv,eight,304,mpfi,3.8,3.35,8,184,4500,16.78571429,16,45400,high
75,1,41,mercury,gas,turbo,two,hatchback,rwd,front,102.7,0.857280154,6.865975104,32.81334356,2910,ohc,four,140,mpfi,3.78,3.12,8,175,5000,12.36842105,24,16503,low
76,2,161,mitsubishi,gas,std,two,hatchback,fwd,front,93.7,0.755886593,3.265975104,28.81334356,1918,ohc,four,92,2bbl,2.97,3.23,9.4,68,5500,6.351351351,41,5389,low
77,2,161,mitsubishi,gas,std,two,hatchback,fwd,front,93.7,0.755886593,3.265975104,28.81334356,1944,ohc,four,92,2bbl,2.97,3.23,9.4,68,5500,7.580645161,38,6189,low
78,2,161,mitsubishi,gas,std,two,hatchback,fwd,front,93.7,0.755886593,3.265975104,28.81334356,2004,ohc,four,92,2bbl,2.97,3.23,9.4,68,5500,7.580645161,38,6669,low
79,1,161,mitsubishi,gas,turbo,two,hatchback,fwd,front,93,0.755886593,2.665975104,28.81334356,2145,ohc,four,98,spdi,3.03,3.39,7.6,102,5500,9.791666667,30,7689,low
80,3,153,mitsubishi,gas,turbo,two,hatchback,fwd,front,96.3,0.831331091,4.265975104,27.41334356,2370,ohc,four,110,spdi,3.17,3.46,7.5,116,5500,10.2173913,30,9959,low
81,3,153,mitsubishi,gas,std,two,hatchback,fwd,front,96.3,0.831331091,4.265975104,27.41334356,2328,ohc,four,122,2bbl,3.35,3.46,8.5,88,5000,9.4,32,8499,low
82,3,41,mitsubishi,gas,turbo,two,hatchback,fwd,front,95.9,0.832292167,5.165975104,28.21334356,2833,ohc,four,156,spdi,3.58,3.86,7,145,5000,12.36842105,24,12629,low
83,3,41,mitsubishi,gas,turbo,two,hatchback,fwd,front,95.9,0.832292167,5.165975104,28.21334356,2921,ohc,four,156,spdi,3.59,3.86,7,145,5000,12.36842105,24,14869,low
84,3,41,mitsubishi,gas,turbo,two,hatchback,fwd,front,95.9,0.832292167,5.165975104,28.21334356,2926,ohc,four,156,spdi,3.59,3.86,7,145,5000,12.36842105,24,14489,low
85,1,125,mitsubishi,gas,std,four,sedan,fwd,front,96.3,0.828447862,4.265975104,29.61334356,2365,ohc,four,122,2bbl,3.35,3.46,8.5,88,5000,9.4,32,6989,low
86,1,125,mitsubishi,gas,std,four,sedan,fwd,front,96.3,0.828447862,4.265975104,29.61334356,2405,ohc,four,122,2bbl,3.35,3.46,8.5,88,5000,9.4,32,8189,low
87,1,125,mitsubishi,gas,turbo,four,sedan,fwd,front,96.3,0.828447862,4.265975104,29.61334356,2403,ohc,four,110,spdi,3.17,3.46,7.5,116,5500,10.2173913,30,9279,low
88,-1,137,mitsubishi,gas,std,four,sedan,fwd,front,96.3,0.828447862,4.265975104,29.61334356,2403,ohc,four,110,spdi,3.17,3.46,7.5,116,5500,10.2173913,30,9279,low
89,1,128,nissan,gas,std,two,sedan,fwd,front,94.5,0.794329649,2.665975104,32.51334356,1889,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200,7.580645161,37,5499,low
90,1,128,nissan,diesel,std,two,sedan,fwd,front,94.5,0.794329649,2.665975104,32.51334356,2017,ohc,four,103,idi,2.99,3.47,21.9,55,4800,5.222222222,50,7099,low
91,1,128,nissan,gas,std,two,sedan,fwd,front,94.5,0.794329649,2.665975104,32.51334356,1918,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200,7.580645161,37,6649,low
92,1,122,nissan,gas,std,four,sedan,fwd,front,94.5,0.794329649,2.665975104,32.51334356,1938,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200,7.580645161,37,6849,low
93,1,103,nissan,gas,std,four,wagon,fwd,front,94.5,0.817876021,2.665975104,31.51334356,2024,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200,7.580645161,37,7349,low
94,1,128,nissan,gas,std,two,sedan,fwd,front,94.5,0.794329649,2.665975104,32.51334356,1951,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200,7.580645161,37,7299,low
95,1,128,nissan,gas,std,two,hatchback,fwd,front,94.5,0.795771264,2.665975104,31.31334356,2028,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200,7.580645161,37,7799,low
96,1,122,nissan,gas,std,four,sedan,fwd,front,94.5,0.794329649,2.665975104,32.51334356,1971,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200,7.580645161,37,7499,low
97,1,103,nissan,gas,std,four,wagon,fwd,front,94.5,0.817876021,2.665975104,31.51334356,2037,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200,7.580645161,37,7999,low
98,2,168,nissan,gas,std,two,hardtop,fwd,front,95.1,0.780394041,2.665975104,31.31334356,2008,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200,7.580645161,37,8249,low
99,0,106,nissan,gas,std,four,hatchback,fwd,front,97.2,0.833253244,4.065975104,32.71334356,2324,ohc,four,120,2bbl,3.33,3.47,8.5,97,5200,8.703703704,34,8949,low
100,0,106,nissan,gas,std,four,sedan,fwd,front,97.2,0.833253244,4.065975104,32.71334356,2302,ohc,four,120,2bbl,3.33,3.47,8.5,97,5200,8.703703704,34,9549,low
